airport_id,name,city,country,iata_code,icao_code,latitude,longitude,utc_offset,dst,timezone,type,source,elevation_ft,max_runway_length_ft
2439,General Urquiza Airport,Parana,Argentina,PRA,SAAP,-31.7948,-60.4804,-3,N,America/Cordoba,airport,OurAirports,242,6890
2440,Islas Malvinas Airport,Rosario,Argentina,ROS,SAAR,-32.9036,-60.785,-3,N,America/Cordoba,airport,OurAirports,85,9842
2441,Sauce Viejo Airport,Santa Fe,Argentina,SFN,SAAV,-31.7117,-60.8117,-3,N,America/Cordoba,airport,OurAirports,55,7628
2442,Jorge Newbery Airpark,Buenos Aires,Argentina,AEP,SABE,-34.5592,-58.4156,-3,N,America/Buenos_Aires,airport,OurAirports,18,7710
2443,Ingeniero Ambrosio Taravella Airport,Cordoba,Argentina,COR,SACO,-31.323601,-64.208,-3,N,America/Cordoba,airport,OurAirports,1604,10499
2452,El Plumerillo Airport,Mendoza,Argentina,MDZ,SAME,-32.8316993713,-68.7929000854,-3,N,America/Mendoza,airport,OurAirports,2310,9301
2454,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,AFA,SAMR,-34.588299,-68.4039,-3,N,America/Mendoza,airport,OurAirports,2470,6923
2455,Catamarca Airport,Catamarca,Argentina,CTC,SANC,-28.5956001282,-65.751701355,-3,N,America/Catamarca,airport,OurAirports,1522,9186
2456,Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,Argentina,SDE,SANE,-27.765556335400000,-64.3099975586,-3,N,America/Cordoba,airport,OurAirports,656,7946
2458,Capitan V A Almonacid Airport,La Rioja,Argentina,IRJ,SANL,-29.3815994263,-66.7957992554,-3,N,America/Argentina/La_Rioja,airport,OurAirports,1437,9383
2460,Teniente Benjamin Matienzo Airport,Tucuman,Argentina,TUC,SANT,-26.8409,-65.104897,-3,N,America/Argentina/Tucuman,airport,OurAirports,1493,11483
2461,Domingo Faustino Sarmiento Airport,San Juan,Argentina,UAQ,SANU,-31.571501,-68.418198,-3,N,America/Argentina/San_Juan,airport,OurAirports,1958,8071
2467,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,Argentina,LUQ,SAOU,-33.2732009888,-66.3563995361,-3,N,America/Argentina/San_Luis,airport,OurAirports,2328,9678
2469,Resistencia International Airport,Resistencia,Argentina,RES,SARE,-27.45,-59.0561,-3,N,America/Cordoba,airport,OurAirports,173,9088
2470,Formosa Airport,Formosa,Argentina,FMA,SARF,-26.2127,-58.2281,-3,N,America/Cordoba,airport,OurAirports,193,5905
2471,Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina,IGR,SARI,-25.737301,-54.4734,-3,N,America/Cordoba,airport,OurAirports,916,10827
2474,Libertador Gral D Jose De San Martin Airport,Posadas,Argentina,PSS,SARP,-27.3858,-55.9707,-3,N,America/Cordoba,airport,OurAirports,430,7388
2476,Martin Miguel De Guemes International Airport,Salta,Argentina,SLA,SASA,-24.856000900300000,-65.4861984253,-3,N,America/Argentina/Salta,airport,OurAirports,4088,9842
2477,Gobernador Horacio Guzman International Airport,Jujuy,Argentina,JUJ,SASJ,-24.392799,-65.097801,-3,N,America/Jujuy,airport,OurAirports,3019,9698
2487,General E. Mosconi Airport,Comodoro Rivadavia,Argentina,CRD,SAVC,-45.7853,-67.4655,-3,N,America/Catamarca,airport,OurAirports,189,9219
2488,Brigadier Antonio Parodi Airport,Esquel,Argentina,EQS,SAVE,-42.908000946,-71.139503479,-3,N,America/Catamarca,airport,OurAirports,2621,7874
2490,Almirante Marco Andres Zar Airport,Trelew,Argentina,REL,SAVT,-43.2105,-65.2703,-3,N,America/Catamarca,airport,OurAirports,141,8399
2491,Gobernador Castello Airport,Viedma,Argentina,VDM,SAVV,-40.8692,-63.0004,-3,N,America/Argentina/Salta,airport,OurAirports,20,8366
2495,Hermes Quijada International Airport,Rio Grande,Argentina,RGA,SAWE,-53.7777,-67.7494,-3,N,America/Argentina/Ushuaia,airport,OurAirports,65,6562
2496,Piloto Civil N. Fernández Airport,Rio Gallegos,Argentina,RGL,SAWG,-51.6089,-69.3126,-3,N,America/Argentina/Rio_Gallegos,airport,OurAirports,61,11644
2497,Malvinas Argentinas Airport,Ushuaia,Argentina,USH,SAWH,-54.8433,-68.2958,-3,N,America/Argentina/Ushuaia,airport,OurAirports,102,9186
2501,Comandante Espora Airport,Bahia Blanca,Argentina,BHI,SAZB,-38.725,-62.1693,-3,N,America/Buenos_Aires,airport,OurAirports,246,8579
2508,Ástor Piazzola International Airport,Mar Del Plata,Argentina,MDQ,SAZM,-37.9342,-57.5733,-3,N,America/Buenos_Aires,airport,OurAirports,72,7218
2509,Presidente Peron Airport,Neuquen,Argentina,NQN,SAZN,-38.949001,-68.155701,-3,N,America/Argentina/Salta,airport,OurAirports,895,8432
2512,Santa Rosa Airport,Santa Rosa,Argentina,RSA,SAZR,-36.588299,-64.275703,-3,N,America/Argentina/Salta,airport,OurAirports,630,7546
