FlightNumber,OriginCode,DestinationCode,Distance,DepartureTime,Price
NK 9256,BLR,DTW,13556.21,09:01:19,2181
DL 0250,ATL,YVR,3611.16,00:17:06,598
DL 1582,PMI,YVR,8812.93,11:15:59,1038
DL 0251,CTU,SAW,6687.18,03:38:05,1099
G4 0764,ORY,ICN,8959.68,11:04:11,966
DL 0257,HGH,SFO,10041.56,11:15:55,2236
SY 6182,CKG,FLL,13769.20,19:03:19,1484
WN 4482,TPE,ORD,11979.96,02:42:05,1292
SY 6185,AUH,SYD,12061.37,21:59:40,1911
AS 6040,PMI,ORD,7250.22,02:11:09,860
AS 7371,BOS,SYD,16250.56,11:48,1750
WN 3159,AUH,HGH,6441.80,08:42:38,972
AS 7377,DOH,CTU,5181.52,20:08:37,751
NK 9245,TPA,CGK,17399.34,20:29:12,1883
NK 9244,ATL,ARN,7468.04,04:56:53,1604
DL 1570,DUB,ATL,6322.56,10:44:16,1105
DL 0243,MUC,SAN,9672.61,04:17:13,1591
DL 0242,DXB,SVO,3711.66,23:33:21,500
G4 0759,DXB,AYT,2662.32,13:36:02,481
AS 8691,ORD,AYT,9267.05,13:04:26,1020
SY 6173,DOH,SHA,6751.22,09:00:24,990
WN 4475,SIN,MAD,11382.10,12:05:57,2067
AS 7362,CAN,HNL,8967.24,03:43:45,970
WN 4473,HNL,MEL,8874.77,06:28:45,944
SY 6179,SZX,ATL,13465.71,16:35:22,1470
AS 8699,HNL,TAO,7931.26,21:31:41,1309
WN 4477,VIE,SAN,9917.87,08:44:47,1174
AS 6039,CLT,CMB,14890.35,11:54:42,2137
WN 3149,HNL,FLL,7817.31,13:19:49,1685
NK 9232,SHA,LHR,9212.22,02:13:08,1078
NK 9230,CMB,CKG,3754.13,02:32:58,432
G4 0741,NKG,SAN,10741.95,10:49:47,1291
G4 0742,MEL,AMS,16538.11,18:51:49,2171
G4 0743,SAN,SEA,1692.38,03:26:41,379
G4 0747,CGK,MCO,17396.89,18:50:01,1807
DL 0279,SVO,CLT,8326.92,01:39:43,902
SY 7490,YVR,ZRH,8307.39,08:29:36,959
AS 8680,LGW,JFK,5568.95,00:16:15,1039
NK 0898,ARN,AGP,3015.83,01:50:29,519
SY 7494,ATL,DOH,11984.58,11:39:58,1681
SY 7496,ATL,MUC,7700.91,09:18:43,1121
WN 3174,SVO,CGK,9313.20,03:24:30,1768
AS 8689,DFW,KIX,10751.36,07:16:41,1313
NK 0890,JFK,NBO,11836.94,21:34:02,1364
