Date,FlightNumber,OriginCode,DestinationCode,Distance,DepartureTime,Price
2026-02-15,UA 3765,BNE,LGW,16551.00,00:50:36,1767
2026-02-15,G4 7039,HAK,MNL,1273.04,19:09:34,318
2026-02-15,F9 0747,ZRH,DOH,4494.97,10:17:56,534
2026-02-15,AA 8146,HAK,DOH,6024.14,05:43:49,655
2026-02-15,UA 1229,CGK,SAW,9402.88,00:37:35,1185
2026-02-15,UA 1467,DMK,MXP,9050.68,13:47:47,1671
2026-02-15,AS 7495,AGP,MCO,7067.18,09:47:49,828
2026-02-15,B6 0195,JFK,MSP,1651.36,11:17:44,309
2026-02-15,DL 2308,TPA,DCA,1311.78,02:39:23,438
2026-02-15,NK 3701,SEA,FRA,8196.55,19:16:54,1121
2026-02-15,WN 2186,ATL,DXB,12209.05,23:38:18,1296
2026-02-15,WN 7879,MXP,BNE,16286.78,03:31:34,2240
2026-02-15,WN 9936,ICN,PHX,10080.63,03:16:34,1058
2026-02-15,F9 8106,CMB,AGP,9031.88,20:01:28,1393
2026-02-15,NK 2973,HAK,DTW,12960.39,04:18:13,1442
2026-02-15,WN 5338,TPE,TPA,13590.77,08:32:35,1429
2026-02-15,F9 3900,TAO,PEK,513.69,16:32:05,232
2026-02-15,SY 1973,DEN,BWI,2393.68,11:00:02,303
2026-02-15,UA 3753,JFK,HEL,6607.14,15:01,1043
2026-02-15,G4 8116,RUH,ORY,4653.41,04:54:09,740
2026-02-15,AA 8375,SFO,MCO,3929.50,23:10:28,955
2026-02-15,NK 8154,CKG,CTU,221.93,19:57:22,126
2026-02-15,G4 0878,DMK,SZX,1696.88,09:22:23,347
2026-02-15,B6 5419,TPE,CPH,8810.35,02:03:33,2230
2026-02-15,F9 8354,HEL,ICN,7032.45,10:45:58,779
2026-02-15,WN 5683,CGK,DXB,6546.97,15:47:54,897
2026-02-15,SY 6299,DEL,DCA,12053.64,23:20:06,1263
2026-02-15,UA 9171,MUC,RUH,4000.11,08:13:29,633
2026-02-15,G4 6056,MUC,TAO,8233.76,08:33:17,937
2026-02-15,AS 8212,DOH,MNL,7282.45,21:53:31,810
2026-02-15,UA 1004,CLT,SHA,12271.94,04:48:22,1419
2026-02-15,UA 2333,FLL,ICN,12423.95,04:50:16,2065
2026-02-15,DL 2693,HEL,AMS,1520.94,09:42:28,337
2026-02-15,DL 3423,PMI,PEK,8910.74,03:57:19,1028
2026-02-15,AA 8282,AMS,DEN,7723.21,19:42:35,1416
2026-02-15,B6 1269,DUB,NKG,9171.60,00:36:02,1362
2026-02-15,DL 0278,DCA,HNL,7776.83,12:47:23,966
2026-02-15,DL 1007,PEK,SAN,10211.75,18:57:04,1134
2026-02-15,AS 7470,MEX,MNL,14228.01,05:26:42,1993
2026-02-15,B6 3567,TPE,FRA,9365.24,06:08:58,1480
2026-02-15,G4 9310,HGH,AYT,8021.57,11:28:51,1558
2026-02-15,AA 0673,HAK,IST,7886.39,00:03:44,973
2026-02-15,G4 7007,PMI,HEL,2774.36,18:22:44,364
2026-02-15,G4 8217,MAN,OSL,1111.21,10:01:17,196
2026-02-15,NK 9102,VIE,BNE,15634.71,01:39:47,2695
2026-02-15,F9 2839,ARN,PER,13466.00,02:12:17,2662
2026-02-15,AA 8391,MEX,SAN,2330.14,03:47:40,319
2026-02-15,AS 4192,BWI,CDG,6128.31,10:30:49,697
2026-02-15,AS 8798,MSP,BOM,12762.93,13:13:59,1489
2026-02-15,AS 9766,MEX,ZRH,9674.80,16:53:14,3141
2026-02-15,WN 6558,SIN,BOG,19311.19,01:59:01,3213
2026-02-15,SY 1521,ATL,DXB,12209.05,21:36:24,1778
2026-02-15,UA 1263,DEN,MNL,12343.91,23:17:46,1445
2026-02-15,G4 3950,MEL,LAS,13132.49,20:42:37,1712
2026-02-15,F9 0788,NBO,MEL,11481.82,18:24:57,1740
2026-02-15,G4 2866,SZX,TPE,801.83,20:49:37,309
2026-02-15,DL 3840,HND,ICN,1209.94,16:21:54,537
2026-02-15,G4 2506,FCO,CMB,7629.68,06:35:18,1178
2026-02-15,DL 1546,GRU,VIE,10124.51,10:23:08,1062
2026-02-15,B6 9929,OSL,MUC,1317.69,04:53:07,416
2026-02-15,DL 1666,SYD,AMS,16658.29,06:54:04,1798
2026-02-15,DL 2508,MCO,LIS,6612.25,04:32:24,1021
2026-02-15,AS 9870,CJU,ORY,9328.61,22:44:26,1159
2026-02-15,NK 1843,BNE,MEL,1380.86,09:05:09,249
2026-02-15,F9 7050,SAN,ZRH,9584.95,13:53:46,1012
2026-02-15,UA 0291,YVR,ICN,8201.29,01:47:29,1417
2026-02-15,SY 0308,DEL,LAS,12713.88,15:37:13,1378
2026-02-15,AS 9872,DCA,CGK,16357.13,01:47:55,3498
2026-02-15,F9 0782,BOM,LIS,8017.26,07:19:29,1786
2026-02-15,F9 1751,BOS,SHA,11738.33,05:56:04,1377
2026-02-15,AA 2512,TPA,SZX,14119.98,22:48:02,1462
2026-02-15,AA 1302,BOS,ATH,7634.27,18:48:39,907
2026-02-15,AA 3844,GRU,MAN,9538.75,23:25:47,1293
2026-02-15,WN 9615,BCN,FCO,846.88,21:37:48,314
2026-02-15,DL 9498,IAH,TAO,11762.36,08:33:20,1361
2026-02-15,G4 1644,LIS,KIX,11086.52,07:55:09,1306
2026-02-15,NK 1718,AMS,HAK,9277.29,14:39:04,1016
2026-02-15,UA 5613,BOM,CPH,6411.06,08:52:10,810
2026-02-15,F9 9123,XIY,CPH,7264.79,19:05:49,1182
2026-02-15,WN 7300,MCO,HND,11699.45,14:08:21,2112
2026-02-15,UA 9096,MAN,FRA,831.81,09:29:13,189
2026-02-15,WN 9721,MUC,JNB,8444.54,09:38:32,1027
2026-02-15,B6 5454,LAS,ORD,2431.39,12:34:32,433
2026-02-15,DL 7073,BOS,BKK,13725.24,21:15:56,1458
2026-02-15,AA 0564,KUL,ICN,4611.47,01:03:02,566
2026-02-15,WN 8635,ORD,CKG,11904.68,21:11:30,1386
2026-02-15,F9 9005,GRU,CJU,18701.51,12:05:27,2055
2026-02-15,UA 6858,MCO,SEA,4104.64,10:07:40,576
2026-02-15,SY 0771,PER,ORD,17629.72,09:20:08,2432
2026-02-15,DL 8079,JFK,JED,10225.26,07:29:53,1261
2026-02-15,NK 7371,KMG,KIX,3292.93,02:27:42,1266
2026-02-15,G4 2848,SYD,DMK,7543.71,02:48:16,937
2026-02-15,DL 4949,CAN,DEL,3649.96,02:44:59,479
2026-02-15,AA 4718,NBO,DUB,7275.35,07:25:26,2862
2026-02-15,F9 9495,PEK,WUH,1056.08,11:57:12,305
2026-02-15,G4 7050,BCN,MCO,7453.03,12:11:59,1018
2026-02-15,NK 0979,NKG,TPA,12999.20,00:26:52,1469
2026-02-15,NK 6157,SHA,PHX,10907.07,02:08:56,1511
2026-02-15,AS 6105,DEN,NRT,9292.13,16:04:03,1378
2026-02-15,AS 7795,PVG,BOM,5064.11,00:09:49,915
2026-02-15,F9 0320,AMS,GRU,9775.28,16:39:37,1212
2026-02-15,AS 7796,SAN,MAN,8579.10,23:04:37,918
2026-02-15,F9 5903,IAH,TAO,11762.36,22:25:54,1322
2026-02-15,UA 1277,BNE,DOH,12330.45,01:34:52,2884
2026-02-15,NK 7240,ORD,MEX,2718.19,16:57:01,577
2026-02-15,DL 8067,ARN,MNL,9335.28,09:11:55,1320
2026-02-15,DL 3974,DTW,MAN,5846.79,00:49:27,746
2026-02-15,DL 2764,KMG,PVG,1988.38,13:26:01,439
2026-02-15,B6 7859,YYZ,MAD,6057.72,00:16:57,788
2026-02-15,AA 2528,FRA,TPA,7738.28,09:12:25,1023
2026-02-15,B6 8823,VIE,TPE,8968.03,06:16:01,1046
2026-02-15,F9 8171,ORD,CJU,10916.85,19:20:27,2416
2026-02-15,UA 3570,TPE,ATL,12944.81,05:08:32,1524
2026-02-15,UA 2480,MNL,EWR,13680.33,22:19:47,1430
2026-02-15,SY 9349,LAS,DEL,12713.88,05:54:42,1439
2026-02-15,AS 6579,MXP,LAX,9695.78,07:44:45,1039
