FlightNumber,OriginCode,DestinationCode,Distance,DepartureTime,Price
AA 5154,ATL,JFK,1221.26,12:31:29,352
AA 1075,ATL,CLT,363.70,07:55:08,346
DL 8375,ATL,CLT,363.70,08:46:46,261
G4 3631,LAX,ATL,3126.63,07:23:22,834
DL 3722,ATL,DEN,1927.13,22:26:17,520
B6 6612,LAS,ORD,2431.86,07:44:49,465
SY 9574,ATL,MCO,650.74,04:19:34,226
SY 6065,ORD,DFW,1290.65,14:51:21,495
UA 8253,ATL,CLT,363.70,23:12:02,352
SY 9652,ATL,LAX,3126.63,11:32:56,456
SY 8840,MCO,CLT,755.19,09:13:38,420
SY 9458,JFK,ORD,1187.84,18:21:40,423
AS 5115,ORD,CLT,964.59,17:45:06,477
G4 3230,ORD,LAX,2802.26,16:19:55,516
AS 9434,DFW,LAS,1694.98,17:36:43,273
AA 5824,DEN,JFK,2609.80,07:19:39,446
SY 3514,ATL,LAX,3126.63,18:29:48,560
AA 6075,DFW,DEN,1032.11,23:01:03,223
UA 1011,LAS,ATL,2805.64,03:17:38,592
DL 3233,LAS,JFK,3609.45,14:18:50,448
DL 0763,ATL,ORD,976.16,20:05:33,313
B6 6702,CLT,ATL,363.70,18:41:11,133
B6 0123,CLT,ATL,363.70,23:25:47,121
NK 3932,ATL,JFK,1221.26,10:08:13,341
NK 3976,DFW,ATL,1175.29,10:34:14,350
UA 6780,ORD,LAS,2431.86,12:22:47,477
F9 8196,JFK,LAS,3609.45,15:41:58,473
B6 9531,LAS,ORD,2431.86,01:51:08,294
SY 3748,CLT,ATL,363.70,09:43:12,606
NK 3210,DEN,LAX,1385.26,05:48:31,313
NK 9679,JFK,ORD,1187.84,17:17:07,439
NK 6240,JFK,DFW,2234.90,20:54:56,770
UA 4990,CLT,ORD,964.59,23:24:33,484
B6 5106,ORD,LAX,2802.26,11:54:28,458
B6 0497,ATL,CLT,363.70,19:09:13,183
AS 5052,ORD,LAS,2431.86,17:26:49,477
NK 2274,DFW,MCO,1582.42,19:21:22,342
WN 1512,CLT,LAX,3412.71,22:15:37,598
NK 0694,ATL,DFW,1175.29,11:32:49,347
F9 1650,ATL,DFW,1175.29,14:12:03,360
SY 2007,ATL,LAS,2805.64,10:29:48,455
WN 2713,LAS,JFK,3609.45,15:55:37,670
AA 5763,ATL,CLT,363.70,21:03:36,117
G4 9623,LAS,MCO,3276.27,11:15:16,499
F9 3360,LAX,LAS,379.97,13:54:47,173
AS 3580,MCO,ATL,650.74,18:45:46,271
AA 2443,LAS,LAX,379.97,10:46:18,135
F9 6111,CLT,ATL,363.70,00:19:41,102
AA 8702,ATL,DEN,1927.13,09:11:16,702
SY 3649,ATL,DFW,1175.29,08:29:58,596
