FlightNumber,OriginCode,DestinationCode,Distance,DepartureTime,Price
NK 9972,ORD,ATL,976.16,17:27:29,209
SY 4876,CLT,ATL,363.70,16:02:49,199
AS 1357,ATL,CLT,363.70,14:38:02,141
DL 2951,ORD,DEN,1426.04,11:50:59,355
F9 5073,ATL,LAS,2805.64,19:03:13,1554
WN 7434,ATL,DEN,1927.13,14:10:34,319
AA 1907,MCO,LAS,3276.27,13:02:37,504
UA 9103,CLT,JFK,870.54,02:12:34,385
G4 9013,DFW,ATL,1175.29,23:54:56,239
WN 7836,LAX,ATL,3126.63,03:12:11,413
NK 3146,ATL,DEN,1927.13,20:59:57,407
AA 4251,DFW,LAX,1983.36,07:55:15,521
DL 6146,DFW,ATL,1175.29,10:09:06,403
UA 2268,CLT,MCO,755.19,10:06:09,295
WN 1723,ATL,DFW,1175.29,16:15:46,315
NK 5242,LAS,LAX,379.97,10:38:19,274
G4 2574,MCO,LAS,3276.27,04:41:35,471
SY 5719,MCO,ATL,650.74,05:19:31,204
AA 8293,ATL,JFK,1221.26,18:52:57,272
NK 8071,ORD,CLT,964.59,14:38:09,176
DL 0288,CLT,JFK,870.54,12:52:38,148
SY 8035,LAX,DEN,1385.26,16:12:03,398
B6 3510,LAS,DEN,1009.51,03:04:07,213
AS 5343,ORD,LAX,2802.26,05:52:38,450
WN 8517,ATL,CLT,363.70,01:37:09,239
B6 6660,ORD,ATL,976.16,16:48:41,370
WN 0199,ATL,LAX,3126.63,21:33:08,501
UA 0795,CLT,ATL,363.70,08:01:41,281
UA 5289,ATL,DEN,1927.13,15:54:40,381
B6 4734,MCO,LAS,3276.27,13:39,1626
UA 6733,DEN,MCO,2486.36,08:08:45,369
UA 7546,DFW,LAX,1983.36,09:09:08,549
AS 5170,CLT,MCO,755.19,21:14:20,445
AS 3472,ORD,LAX,2802.26,04:47:21,488
WN 2763,DFW,LAX,1983.36,04:46:31,351
NK 7965,LAX,ORD,2802.26,18:46:26,522
WN 4344,DFW,DEN,1032.11,01:33:54,187
AA 2459,ATL,MCO,650.74,10:00:55,242
G4 9232,LAX,DEN,1385.26,09:56:33,205
G4 5225,ORD,JFK,1187.84,21:11:51,237
AA 5481,CLT,ORD,964.59,06:23:19,201
F9 1626,ATL,DFW,1175.29,05:19:59,260
G4 6832,DEN,CLT,2148.22,15:47:26,356
F9 1548,DFW,CLT,1503.21,03:10:27,328
DL 4624,ATL,CLT,363.70,22:30:23,243
AA 9912,CLT,ORD,964.59,04:12:26,182
F9 2554,DEN,ORD,1426.04,17:58:15,310
F9 7445,ATL,LAX,3126.63,04:13:58,553
WN 4657,ATL,LAX,3126.63,01:54:35,417
AA 5119,LAS,ATL,2805.64,17:08:05,450
